;M_id;M_name;C_in;C_in_name;C_out;C_out_name;SM_id
M_1;M_1;Glucose_G6P;Glucose;C00267;G6P;C00668;1
M_2;M_2;G6P_G3P;G6P;C00668;G3P;C00118;1
M_3;M_3;G3P_3PD;G3P;C00118;3PD;C00197;1
M_4;M_4;3PD_Pyruvate;3PD;C00197;Pyruvate;C00022;1
M_5;M_5;Pyruvate_Acetyl-Coa;Pyruvate;C00022;Acetyl-Coa;C00024;1
M_6;M_6;Pyruvate_Lactate;Pyruvate;C00022;Lactate;C00256;1
M_7;M_7;Acetyl-CoA+Oxaloacetate_Citrate;Acetyl-CoA+Oxaloacetate;C00024+C00036;Citrate;C00158;1
M_8;M_8;Citrate_2OG;Citrate;C00158;2OG;C00026;1
M_9;M_9;2OG_Succinyl-CoA;2OG;C00026;Succinyl-CoA;C00091;1
M_10;M_10;Succinyl-CoA_Succinate;Succinyl-CoA;C00091;Succinate;C00042;1
M_11;M_11;Succinate_Fumarate;Succinate;C00042;Fumarate;C00122;1
M_12;M_12;Fumarate_Malate;Fumarate;C00122;Malate;C00149;1
M_13;M_13;Malate_Oxaloacetate;Malate;C00149;Oxaloacetate;C00036;1
M_14;M_14;Pyruvate_Oxaloacetate;Pyruvate;C00022;Oxaloacetate;C00036;1
M_15;M_15;3PD_Serine;3PD;C00197;Serine;C00065;2
M_16;M_16;Serine_Pyruvate;Serine;C00065;Pyruvate;C00022;2
M_17;M_17;Serine_Cysteine;Serine;C00065;Cysteine;C00097;2
M_18;M_18;Serine_Glycine;Serine;C00065;Glycine;C00037;2
M_19;M_19;Glycine_Creatine;Glycine;C00037;Creatine;C00300;2
M_20;M_20;Glycine_Glyoxylate;Glycine;C00037;Glyoxylate;C00048;2
M_21;M_21;Choline_Glycine;Choline;C00114;Glycine;C00037;2
M_22;M_22;Glycine_Glycine-OUT;Glycine;C00037;Glycine-OUT;C00000;2
M_23;M_23;Glycine_Glutathione;Glycine;C00037;Glutathione;C00051;2
M_24;M_24;Glutathione_Glycine + Cysteine;Glutathione;C00051;Glycine + Cysteine;C00037+C00097;2
M_25;M_25;Glutathione_glutamate;Glutathione;C00051;glutamate;C00025;2
M_26;M_26;Glutamate + Cysteine_Glutathione;Glutamate + Cysteine;C00025+C00097;Glutathione;C00051;2
M_27;M_27;Serine_2-Aminoacrylate;Serine;C00065;2-Aminoacrylate;C02218;2
M_28;M_28;Serine_Methionine;Serine;C00065;Methionine;C00073;2
M_29;M_29;Cysteine_Pyruvate;Cysteine;C00097;Pyruvate;C00022;2
M_30;M_30;Methionine_Cysteine;Methionine;C00073;Cysteine;C00097;2
M_31;M_31;Methionine_Methionine-OUT;Methionine;C00073;Methionine-OUT;C00000;2
M_32;M_32;Threonine_Propanoyl-CoA;Threonine;C00188;Propanoyl-CoA;C00100;2
M_33;M_33;G3P_PRPP;G3P;C00118;PRPP;C00119;3
M_34;M_34;Acetyl-CoA_Fatty Acid;Acetyl-CoA;C00024;Fatty Acid;CC0001;4
M_35;M_35;Fatty Acid_Acetyl-CoA;Fatty Acid;CC0001;Acetyl-CoA;C00024;4
M_36;M_36;Aspartate_Pyrimidine;Aspartate;C00049;Pyrimidine;CC0002;5
M_37;M_37;Aspartate_Aspartate-OUT;Aspartate;C00049;Aspartate-OUT;C00000;5
M_38;M_38;Aspartate_Asparagine;Aspartate;C00049;Asparagine;C00152;5
M_39;M_39;Aspartate_Fumarate;Aspartate;C00049;Fumarate;C00122;5
M_40;M_40;Aspartate_Oxaloacetate;Aspartate;C00049;Oxaloacetate;C00036;5
M_41;M_41;Aspartate_B-Alanine;Aspartate;C00049;B-Alanine;C00099;6
M_42;M_42;Spermine_B-Alanine;Spermine;C00750;B-Alanine;C00099;6
M_43;M_43;Histidine_B-Alanine;Histidine;C00135;B-Alanine;C00099;6
M_44;M_44;B-Alanine_Acetyl-CoA;B-Alanine;C00099;Acetyl-CoA;C00024;6
M_45;M_45;Pyrimidine_B-Alanine;Pyrimidine;CC0002;B-Alanine;C00099;6
